,wind speed ,direction
2014-04-03-01-40,3.5699999999999998,183.0
2014-04-03-01-50,4.3399999999999999,195.80000000000001
2014-04-03-02-00,4.2599999999999998,201.30000000000001
2014-04-03-02-10,3.98,198.80000000000001
2014-04-03-02-19,4.0700000000000003,202.40000000000001
2014-04-03-02-29,4.0800000000000001,205.59999999999999
2014-04-03-02-40,3.0699999999999998,204.90000000000001
2014-04-03-02-50,3.0899999999999999,205.5
2014-04-03-03-00,2.75,210.40000000000001
2014-04-03-03-10,3.1000000000000001,207.40000000000001
2014-04-03-03-20,3.6000000000000001,207.19999999999999
2014-04-03-03-30,3.29,199.0
2014-04-03-03-40,3.75,195.80000000000001
2014-04-03-03-49,4.1699999999999999,198.09999999999999
2014-04-03-03-59,3.1800000000000002,200.90000000000001
2014-04-03-04-10,2.3100000000000001,192.80000000000001
2014-04-03-04-20,1.3600000000000001,216.40000000000001
2014-04-03-04-30,1.1399999999999999,237.90000000000001
2014-04-03-04-40,1.05,253.5
2014-04-03-04-50,1.55,241.90000000000001
2014-04-03-05-00,1.4199999999999999,238.90000000000001
2014-04-03-05-10,1.3899999999999999,225.69999999999999
2014-04-03-05-19,1.98,228.90000000000001
2014-04-03-05-29,1.3899999999999999,254.69999999999999
2014-04-03-05-40,1.29,299.0
2014-04-03-05-50,2.1400000000000001,310.19999999999999
2014-04-03-06-00,1.98,294.80000000000001
2014-04-03-06-10,1.8899999999999999,286.19999999999999
2014-04-03-06-20,1.8899999999999999,284.60000000000002
2014-04-03-06-30,2.0699999999999998,282.39999999999998
2014-04-03-06-40,2.3999999999999999,280.39999999999998
2014-04-03-06-49,2.4900000000000002,268.30000000000001
2014-04-03-06-59,2.3300000000000001,267.89999999999998
2014-04-03-07-10,2.5299999999999998,271.5
2014-04-03-07-20,2.5099999999999998,277.69999999999999
2014-04-03-07-30,2.9399999999999999,269.80000000000001
2014-04-03-07-40,3.5099999999999998,273.39999999999998
2014-04-03-07-50,3.0099999999999998,269.60000000000002
2014-04-03-08-00,3.79,275.39999999999998
2014-04-03-08-10,3.4199999999999999,283.10000000000002
2014-04-03-08-19,3.0800000000000001,281.80000000000001
2014-04-03-08-29,3.5,273.89999999999998
2014-04-03-08-40,3.0699999999999998,280.30000000000001
