,u,v,depth
2009-09-17-02-00,-1.27,-6.0,62.0
2009-09-17-03-00,2.4500000000000002,-9.8100000000000005,62.0
2009-09-17-03-59,2.1099999999999999,-7.2000000000000002,62.0
2009-09-17-05-00,5.1799999999999997,-12.029999999999999,62.0
2009-09-17-06-00,5.1500000000000004,-9.4299999999999997,62.0
2009-09-17-06-59,6.8399999999999999,-1.6499999999999999,62.0
2009-09-17-08-00,2.8500000000000001,1.6699999999999999,62.0
2009-09-17-09-00,-1.3300000000000001,-0.080000000000000002,62.0
2009-09-17-09-59,21.16,-11.42,62.0
2009-09-17-11-00,-4.0099999999999998,8.0,62.0
2009-09-17-12-00,-11.52,5.1799999999999997,62.0
2009-09-17-12-59,-6.5899999999999999,-4.5300000000000002,62.0
2009-09-17-14-00,-14.529999999999999,-13.0,62.0
2009-09-17-15-00,-7.5800000000000001,-11.49,62.0
2009-09-17-15-59,-9.4900000000000002,-11.73,62.0
2009-09-17-17-00,0.34999999999999998,-10.109999999999999,62.0
2009-09-17-18-00,-5.5800000000000001,-3.7200000000000002,62.0
2009-09-17-18-59,-4.1699999999999999,4.2999999999999998,62.0
2009-09-17-20-00,-1.6499999999999999,4.21,62.0
2009-09-17-21-00,-0.68000000000000005,7.2999999999999998,62.0
2009-09-17-21-59,2.4900000000000002,-0.31,62.0
2009-09-17-23-00,0.69999999999999996,-1.6699999999999999,62.0
2009-09-18-00-00,-11.81,-5.2199999999999998,62.0
2009-09-18-00-59,-3.1499999999999999,-1.3400000000000001,62.0
2009-09-18-02-00,-10.460000000000001,-0.56000000000000005,62.0
2009-09-18-03-00,4.75,-6.6299999999999999,62.0
2009-09-18-03-59,-3.0499999999999998,-4.54,62.0
2009-09-18-05-00,-2.2999999999999998,1.1000000000000001,62.0
2009-09-18-06-00,-8.8900000000000006,-6.6600000000000001,62.0
2009-09-18-06-59,-24.02,0.90000000000000002,62.0
2009-09-18-09-00,-5.0199999999999996,-3.1400000000000001,62.0
2009-09-18-09-59,-15.69,-10.84,62.0
2009-09-18-11-00,-1.28,12.23,62.0
2009-09-18-12-59,-21.390000000000001,5.0999999999999996,62.0
2009-09-18-14-00,-5.7699999999999996,-8.7699999999999996,62.0
2009-09-18-15-00,-6.5599999999999996,-4.6299999999999999,62.0
2009-09-18-15-59,-6.8700000000000001,-6.7999999999999998,62.0
2009-09-18-17-00,-5.1900000000000004,-9.3300000000000001,62.0
2009-09-18-18-00,-2.3199999999999998,-2.7599999999999998,62.0
2009-09-18-18-59,2.1800000000000002,0.73999999999999999,62.0
2009-09-18-20-00,-8.5999999999999996,0.19,62.0
2009-09-18-21-00,14.6,29.899999999999999,62.0
2009-09-18-21-59,4.4500000000000002,0.46999999999999997,62.0
2009-09-18-23-00,0.39000000000000001,1.1599999999999999,62.0
2009-09-19-00-00,9.2899999999999991,-12.18,62.0
2009-09-19-00-59,-18.280000000000001,-3.0499999999999998,62.0
2009-09-19-02-00,-11.93,-5.1600000000000001,62.0
2009-09-19-03-00,-5.8600000000000003,-3.48,62.0
2009-09-19-03-59,0.31,1.4399999999999999,62.0
2009-09-19-05-00,-1.8700000000000001,0.69999999999999996,62.0
2009-09-19-06-00,3.77,-0.77000000000000002,62.0
2009-09-19-06-59,4.0199999999999996,-10.18,62.0
2009-09-19-08-00,-0.68000000000000005,-11.56,62.0
2009-09-19-09-00,2.3399999999999999,-4.4199999999999999,62.0
2009-09-19-09-59,14.789999999999999,-8.9100000000000001,62.0
2009-09-19-11-00,-9.0600000000000005,-1.0900000000000001,62.0
2009-09-19-12-59,4.3200000000000003,-1.24,62.0
2009-09-19-14-00,-16.649999999999999,-3.6200000000000001,62.0
2009-09-19-15-00,-4.8799999999999999,1.3799999999999999,62.0
2009-09-19-15-59,-15.539999999999999,-1.73,62.0
2009-09-19-17-00,1.2,-0.17000000000000001,62.0
2009-09-19-18-00,1.97,-3.8999999999999999,62.0
2009-09-19-18-59,-6.2300000000000004,2.7599999999999998,62.0
2009-09-19-20-00,1.96,0.050000000000000003,62.0
2009-09-19-21-00,3.52,8.6300000000000008,62.0
2009-09-19-21-59,2.79,6.8600000000000003,62.0
2009-09-19-23-00,1.5,-1.23,62.0
2009-09-20-00-00,-6.4000000000000004,8.3399999999999999,62.0
2009-09-20-00-59,-8.25,-4.9100000000000001,62.0
2009-09-20-02-00,1.0600000000000001,0.31,62.0
2009-09-20-03-00,-2.8599999999999999,-1.98,62.0
2009-09-20-03-59,-6.2300000000000004,0.98999999999999999,62.0
2009-09-20-05-00,4.4400000000000004,1.2,62.0
2009-09-20-06-00,6.7300000000000004,-1.99,62.0
2009-09-20-06-59,10.720000000000001,1.47,62.0
2009-09-20-08-00,10.970000000000001,-3.6699999999999999,62.0
2009-09-20-09-00,17.07,-6.3600000000000003,62.0
2009-09-20-09-59,18.0,-9.5299999999999994,62.0
