,current speed,direction,u,v
2003-02-10-00-00,18.18,102.84,17.73,-4.04
2003-02-10-00-59,22.579999999999998,84.560000000000002,22.48,2.1400000000000001
2003-02-10-02-00,18.77,98.969999999999999,18.539999999999999,-2.9300000000000002
2003-02-10-03-00,18.48,96.159999999999997,18.370000000000001,-1.98
2003-02-10-03-59,14.08,74.709999999999994,13.58,3.71
2003-02-10-05-00,11.15,91.239999999999995,11.140000000000001,-0.23999999999999999
2003-02-10-06-00,7.3300000000000001,125.34,5.9800000000000004,-4.2400000000000002
2003-02-10-06-59,2.9300000000000002,177.72999999999999,0.12,-2.9300000000000002
2003-02-10-08-00,3.8100000000000001,198.12,-1.1899999999999999,-3.6200000000000001
2003-02-10-09-00,7.6299999999999999,133.43000000000001,5.54,-5.2400000000000002
2003-02-10-09-59,9.3900000000000006,96.510000000000005,9.3300000000000001,-1.0600000000000001
2003-02-10-11-00,10.56,113.73999999999999,9.6699999999999999,-4.25
2003-02-10-12-00,14.66,100.03,14.44,-2.5499999999999998
2003-02-10-12-59,17.890000000000001,74.010000000000005,17.199999999999999,4.9299999999999997
2003-02-10-14-00,20.239999999999998,76.819999999999993,19.699999999999999,4.6100000000000003
2003-02-10-15-00,18.18,73.310000000000002,17.420000000000002,5.2199999999999998
2003-02-10-15-59,17.890000000000001,65.920000000000002,16.329999999999998,7.2999999999999998
2003-02-10-17-00,13.49,71.900000000000006,12.82,4.1900000000000004
2003-02-10-18-00,12.32,53.270000000000003,9.8699999999999992,7.3700000000000001
2003-02-10-18-59,8.2100000000000009,55.020000000000003,6.7300000000000004,4.71
2003-02-10-20-00,8.2100000000000009,29.710000000000001,4.0700000000000003,7.1299999999999999
2003-02-10-21-00,3.52,75.060000000000002,3.3999999999999999,0.91000000000000003
2003-02-10-21-59,4.4000000000000004,82.450000000000003,4.3600000000000003,0.57999999999999996
2003-02-10-23-00,8.5099999999999998,95.109999999999999,8.4700000000000006,-0.76000000000000001
2003-02-11-00-00,11.15,93.700000000000003,11.119999999999999,-0.71999999999999997
2003-02-11-00-59,13.49,86.670000000000002,13.470000000000001,0.78000000000000003
2003-02-11-02-00,16.420000000000002,82.450000000000003,16.280000000000001,2.1600000000000001
2003-02-11-03-00,14.66,82.450000000000003,14.539999999999999,1.9299999999999999
2003-02-11-03-59,19.359999999999999,92.290000000000006,19.34,-0.77000000000000002
2003-02-11-05-00,17.010000000000002,102.84,16.59,-3.7799999999999998
2003-02-11-06-00,11.15,122.53,9.4000000000000004,-5.9900000000000002
2003-02-11-06-59,9.6799999999999997,132.38,7.1500000000000004,-6.5199999999999996
2003-02-11-08-00,11.15,136.59,7.6600000000000001,-8.0999999999999996
2003-02-11-09-00,12.91,135.53999999999999,9.0399999999999991,-9.2100000000000009
2003-02-11-09-59,21.120000000000001,134.47999999999999,15.07,-14.800000000000001
2003-02-11-11-00,17.300000000000001,113.04000000000001,15.92,-6.7699999999999996
2003-02-11-12-00,13.49,138.69999999999999,8.9000000000000004,-10.140000000000001
2003-02-11-12-59,19.649999999999999,125.69,15.960000000000001,-11.470000000000001
2003-02-11-14-00,20.239999999999998,140.11000000000001,12.98,-15.529999999999999
2003-02-11-15-00,17.600000000000001,115.84999999999999,15.84,-7.6699999999999999
2003-02-11-15-59,16.719999999999999,120.42,14.42,-8.4700000000000006
2003-02-11-17-00,13.49,138.34999999999999,8.9700000000000006,-10.08
